cases,deaths,countriesAndTerritories,dateRep,countryterritoryCode,popData2019,contintent
0,0,Luxembourg,2020-12-07,LUX,619896.0,Europe
0,0,Madagascar,2020-12-07,MDG,26969307.0,Africa
2,0,Malawi,2020-12-07,MWI,18628747.0,Africa
1335,2,Malaysia,2020-12-07,MYS,31949777.0,Asia
39,0,Maldives,2020-12-07,MDV,530953.0,Asia
73,1,Mali,2020-12-07,MLI,19658031.0,Africa
97,2,Malta,2020-12-07,MLT,502653.0,Europe
0,0,Marshall Islands,2020-12-07,MHL,58791.0,Oceania
157,4,Mauritania,2020-12-07,MRT,4525696.0,Africa
0,0,Mauritius,2020-12-07,MUS,1265711.0,Africa
7455,261,Mexico,2020-12-07,MEX,127575529.0,Americas
808,16,Moldova,2020-12-07,MDA,2657637.0,Europe
1,0,Monaco,2020-12-07,MCO,38964.0,Europe
38,0,Mongolia,2020-12-07,MNG,3225167.0,Asia
367,3,Montenegro,2020-12-07,MNE,622137.0,Europe
2919,61,Morocco,2020-12-07,MAR,36471769.0,Africa
111,0,Mozambique,2020-12-07,MOZ,30366036.0,Africa
128,0,Namibia,2020-12-07,NAM,2494530.0,Africa
1096,17,Nepal,2020-12-07,NPL,28608710.0,Asia
6912,25,Netherlands,2020-12-07,NLD,17332850.0,Europe
1,0,New Zealand,2020-12-07,NZL,4917000.0,Oceania
0,0,Nicaragua,2020-12-07,NIC,6545502.0,Americas
67,0,Niger,2020-12-07,NER,23310715.0,Africa
318,0,Nigeria,2020-12-07,NGA,200963599.0,Africa
657,23,North Macedonia,2020-12-07,MKD,2083459.0,Europe
250,0,Norway,2020-12-07,NOR,5347896.0,Europe
557,9,Oman,2020-12-07,OMN,4974986.0,Asia
3795,37,Pakistan,2020-12-07,PAK,216565318.0,Asia
1812,20,Panama,2020-12-07,PAN,4246439.0,Americas
0,0,Papua New Guinea,2020-12-07,PNG,8776109.0,Oceania
707,20,Paraguay,2020-12-07,PRY,7044636.0,Americas
1828,36,Peru,2020-12-07,PER,32510453.0,Americas
1765,28,Philippines,2020-12-07,PHL,108116615.0,Asia
9176,228,Poland,2020-12-07,POL,37970874.0,Europe
3834,87,Portugal,2020-12-07,PRT,10269417.0,Europe
125,0,Qatar,2020-12-07,QAT,2832067.0,Asia
5231,134,Romania,2020-12-07,ROU,19356544.0,Europe
28701,447,Russia,2020-12-07,RUS,144373535.0,Europe
45,0,Rwanda,2020-12-07,RWA,12626950.0,Africa
0,0,Saint Kitts and Nevis,2020-12-07,KNA,52823.0,Americas
0,0,Saint Lucia,2020-12-07,LCA,182790.0,Americas
0,0,Saint Vincent and the Grenadines,2020-12-07,VCT,110589.0,Americas
0,0,San Marino,2020-12-07,SMR,33860.0,Europe
0,0,Sao Tome and Principe,2020-12-07,STP,215056.0,Africa
187,11,Saudi Arabia,2020-12-07,SAU,34268528.0,Asia
80,1,Senegal,2020-12-07,SEN,16296364.0,Africa
5809,58,Serbia,2020-12-07,SRB,6944975.0,Europe
0,0,Seychelles,2020-12-07,SYC,97625.0,Africa
6,0,Sierra Leone,2020-12-07,SLE,7813215.0,Africa
5,0,Singapore,2020-12-07,SGP,5703569.0,Asia
1269,15,Slovakia,2020-12-07,SVK,5454073.0,Europe
1030,44,Slovenia,2020-12-07,SVN,2087946.0,Europe
0,0,Solomon Islands,2020-12-07,SLB,669823.0,Oceania
0,0,Somalia,2020-12-07,SOM,15442905.0,Africa
4116,139,South Africa,2020-12-07,ZAF,58558270.0,Africa
15,0,South Sudan,2020-12-07,SSD,11062113.0,Africa
0,0,Spain,2020-12-07,ESP,47076781.0,Europe
649,3,Sri Lanka,2020-12-07,LKA,21803000.0,Asia
272,5,Sudan,2020-12-07,SDN,42813238.0,Africa
0,0,Suriname,2020-12-07,SUR,581372.0,Americas
0,0,Sweden,2020-12-07,SWE,10285453.0,Europe
0,25,Switzerland,2020-12-07,CHE,8574832.0,Europe
83,5,Syria,2020-12-07,SYR,17070135.0,Asia
22,0,Taiwan*,2020-12-07,CNG1925,,
39,0,Tajikistan,2020-12-07,TJK,9321018.0,Asia
0,0,Tanzania,2020-12-07,TZA,58005463.0,Africa
21,0,Thailand,2020-12-07,THA,69625582.0,Asia
0,0,Timor-Leste,2020-12-07,TLS,1293119.0,Asia
44,0,Togo,2020-12-07,TGO,8082366.0,Africa
16,0,Trinidad and Tobago,2020-12-07,TTO,1394973.0,Americas
1011,35,Tunisia,2020-12-07,TUN,11694719.0,Africa
30402,195,Turkey,2020-12-07,TUR,83429615.0,Asia
175663,1113,US,2020-12-07,USA,328239523.0,Americas
311,0,Uganda,2020-12-07,UGA,44269594.0,Africa
11928,177,Ukraine,2020-12-07,UKR,44385155.0,Europe
1153,3,United Arab Emirates,2020-12-07,ARE,9770529.0,Asia
17372,231,United Kingdom,2020-12-07,GBR,66834405.0,Europe
338,1,Uruguay,2020-12-07,URY,3461734.0,Americas
302,0,Uzbekistan,2020-12-07,UZB,33580650.0,Asia
0,0,Vanuatu,2020-12-07,VUT,299882.0,Oceania
